SL.no.,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
1,h,START,0.1591,0.0,0.0449,0,88.02
2,e,h_e,0.0425,0.0874,0.0789,0,88.02
3,l,e_l,0.0121,0.091,0.0691,0,88.02
4,l,l_l,0.061,0.1301,0.0781,0,88.02
5,o,l_o,0.0698,0.1479,0.0643,0,88.02
6,<space>,o_<space>,0.0361,0.1004,0.0845,0,88.02
7,m,<space>_m,0.0623,0.1468,0.0435,0,88.02
8,y,m_y,0.0576,0.1011,0.0702,0,88.02
9,<space>,y_<space>,0.002,0.0722,0.0547,0,88.02
10,n,<space>_n,0.0797,0.1343,0.0471,0,88.02
11,a,n_a,0.0181,0.0652,0.0937,0,88.02
12,m,a_m,0.0943,0.0762,0.0635,1,88.02
13,e,m_e,0.0368,0.1003,0.0675,0,88.02
14,<space>,e_<space>,0.0682,0.0314,0.0503,1,88.02
15,i,<space>_i,0.1103,0.1606,0.04,0,88.02
16,s,i_s,0.0225,0.0625,0.08,0,88.02
17,<space>,s_<space>,0.0121,0.0921,0.0493,0,88.02
18,r,<space>_r,0.0476,0.097,0.0531,0,88.02
19,i,r_i,0.0256,0.0787,0.049,0,88.02
20,s,i_s,0.0395,0.0885,0.0778,0,88.02
21,h,s_h,0.0841,0.0445,0.0549,1,88.02
22,i,h_i,0.0749,0.1298,0.0553,0,88.02
23,<space>,i_<space>,0.0918,0.1471,0.0466,0,88.02
24,k,<space>_k,0.0912,0.1378,0.0737,0,88.02
25,u,k_u,0.0904,0.1641,0.0322,0,88.02
26,m,u_m,0.0938,0.126,0.0561,0,88.02
27,a,m_a,0.1362,0.0424,0.0552,1,88.02
28,r,a_r,0.0825,0.1377,0.0636,0,88.02
29,<space>,r_<space>,0.0909,0.1545,0.0895,0,88.02
30,i,<space>_i,0.0061,0.0956,0.0475,0,88.02
31,<space>,i_<space>,0.106,0.1535,0.056,0,88.02
32,a,<space>_a,0.0215,0.0774,0.0907,0,88.02
33,m,a_m,0.0845,0.0631,0.0625,1,88.02
34,<space>,m_<space>,0.0975,0.16,0.0388,0,88.02
35,u,<space>_u,0.1209,0.1598,0.0441,0,88.02
