Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
t,START_t,0.0000,0.0000,0.1480,0,57.78
h,t_h,0.0020,0.1500,0.0000,1,57.78
e,t_e,0.1040,0.1020,0.1320,0,57.78
 ,e_ ,0.0030,0.1350,0.1080,1,57.78
s, _s,0.0310,0.1390,0.1790,1,57.78
m,s_m,0.0030,0.1820,0.0000,1,57.78
a,s_a,0.1030,0.1000,0.1290,0,57.78
l,a_l,0.0530,0.1820,0.0770,1,57.78
l,l_l,0.0800,0.1570,0.0000,1,57.78
e,l_e,0.1590,0.0790,0.1300,0,57.78
s,l_s,0.0280,0.0790,0.1340,1,57.78
t,s_t,0.0490,0.1830,0.0970,1,57.78
 ,t_ ,0.0160,0.1130,0.1530,1,57.78
d, _d,0.0130,0.1660,0.0000,1,57.78
e, _e,0.1250,0.1120,0.1530,0,57.78
t,d_t,0.1120,0.1530,0.0930,1,57.78
a,t_a,0.1450,0.2380,0.0000,1,57.78
i,t_i,0.2080,0.0630,0.0720,0,57.78
l,i_l,0.1510,0.2230,0.0000,1,57.78
s,i_s,0.2540,0.1030,0.1220,0,57.78
 ,s_ ,0.4690,0.5910,0.1910,1,57.78
d, _d,0.0880,0.2790,0.0000,1,57.78
e, _e,0.2110,0.1230,0.1510,0,57.78
f,d_f,0.1060,0.1340,0.1620,1,57.78
i,e_i,0.0990,0.1270,0.0560,1,57.78
n,i_n,0.1530,0.2090,0.0000,1,57.78
e,i_e,0.2630,0.1100,0.0770,0,57.78
 ,e_ ,0.0020,0.0790,0.0000,1,57.78
t,e_t,0.0900,0.0880,0.1400,0,57.78
h, _h,0.0380,0.0900,0.0850,1,57.78
 ,h_ ,0.1560,0.2410,0.1470,1,57.78
Backspace, _Backspace,0.1960,0.3430,0.0000,1,57.78
e, _e,0.2990,0.1030,0.1690,0,57.78
 ,Backspace_ ,0.0060,0.0720,0.1150,1,57.78
s, _s,0.0140,0.1290,0.1200,1,57.78
t,s_t,0.1010,0.2210,0.0000,1,57.78
r,s_r,0.2580,0.1570,0.0480,0,57.78
o,r_o,0.7970,0.8450,0.1030,1,57.78
n,o_n,0.1140,0.2170,0.0000,1,57.78
g,o_g,0.1980,0.0840,0.0770,0,57.78
e,g_e,0.1350,0.2120,0.0000,1,57.78
s,g_s,0.2290,0.0940,0.1630,0,57.78
t,s_t,0.0460,0.2090,0.0670,1,57.78
 ,t_ ,0.0140,0.0810,0.0000,1,57.78
l,t_l,0.1700,0.1560,0.1040,0,57.78
o,l_o,0.0850,0.1890,0.0850,1,57.78
c,o_c,0.0030,0.0880,0.0000,1,57.78
k,o_k,0.1140,0.1110,0.1310,0,57.78
s,c_s,0.0850,0.1050,0.1360,1,57.78
p,START_p,0.0000,0.0000,0.1110,0,47.7
r,p_r,0.0020,0.1130,0.0000,1,47.7
e,p_e,0.0740,0.0720,0.1130,0,47.7
c,e_c,0.1800,0.2930,0.0540,1,47.7
i,c_i,0.0970,0.1510,0.1310,1,47.7
s,i_s,0.0020,0.1330,0.0000,1,47.7
