Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,m,a_m,0.0845,0.0631,0.0625,1,88.02,6.28,190.1743264659271
User_1,s,i_s,0.0225,0.0625,0.08,0,88.02,5.59,192.0
User_1,h,START,0.1591,0.0,0.0449,0,88.02,0.0,1200.0
User_1,r,a_r,0.0825,0.1377,0.0636,0,88.02,2.69,87.14596949891069
User_1,a,m_a,0.1362,0.0424,0.0552,1,88.02,6.28,283.0188679245283
User_1,m,u_m,0.0938,0.126,0.0561,0,88.02,2.12,95.23809523809524
User_1,u,k_u,0.0904,0.1641,0.0322,0,88.02,1.8,73.12614259597807
User_1,s,i_s,0.0395,0.0885,0.0778,0,88.02,5.59,135.59322033898306
User_1,<space>,i_<space>,0.106,0.1535,0.056,0,88.02,0.0,78.17589576547232
User_1,i,<space>_i,0.0061,0.0956,0.0475,0,88.02,0.0,125.52301255230124
User_1,<space>,r_<space>,0.0909,0.1545,0.0895,0,88.02,0.0,77.66990291262137
User_1,h,s_h,0.0841,0.0445,0.0549,1,88.02,4.0,269.6629213483146
User_1,i,h_i,0.0749,0.1298,0.0553,0,88.02,1.8,92.44992295839754
User_1,<space>,o_<space>,0.0276,0.078,0.0704,0,88.02,0.0,153.84615384615384
User_1,o,l_o,0.0734,0.1325,0.0504,0,88.02,1.12,90.56603773584905
User_1,l,l_l,0.071,0.1109,0.0591,0,88.02,0.0,108.20559062218214
User_1,k,<space>_k,0.0912,0.1378,0.0737,0,88.02,0.0,87.08272859216255
User_1,i,<space>_i,0.1103,0.1606,0.04,0,88.02,0.0,74.71980074719801
User_1,<space>,e_<space>,0.0682,0.0314,0.0503,1,88.02,0.0,382.1656050955415
User_1,e,m_e,0.0368,0.1003,0.0675,0,88.02,5.11,119.64107676969091
User_1,l,e_l,0.0345,0.1124,0.04,0,88.02,6.58,106.76156583629893
User_1,e,h_e,0.0201,0.0782,0.0779,0,88.02,3.64,153.4526854219949
User_1,h,<space>_h,0.0858,0.1806,0.0581,0,88.02,0.0,66.44518272425249
User_1,<space>,1_<space>,0.1939,0.27,0.0948,0,88.02,0.0,44.44444444444444
User_1,1,<space>_1,0.0775,0.1508,0.0761,0,88.02,0.0,79.57559681697613
User_1,<space>,r_<space>,0.1008,0.0285,0.0733,1,88.02,0.0,421.05263157894734
User_1,r,e_r,0.0723,0.128,0.0767,0,88.02,1.0,93.75
User_1,e,s_e,0.0701,0.135,0.0556,0,88.02,1.12,88.88888888888889
User_1,s,u_s,0.0289,0.0731,0.0648,0,88.02,4.61,164.15868673050616
User_1,u,<space>_u,0.1209,0.1598,0.0441,0,88.02,0.0,75.09386733416771
User_1,<space>,m_<space>,0.0975,0.16,0.0388,0,88.02,0.0,75.0
User_1,a,<space>_a,0.0215,0.0774,0.0907,0,88.02,0.0,155.03875968992247
User_1,<space>,r_<space>,0.1197,0.1889,0.0777,0,88.02,0.0,63.52567496029644
User_1,r,e_r,0.0814,0.1495,0.0693,0,88.02,1.0,80.2675585284281
User_1,e,s_e,0.0802,0.1379,0.0682,0,88.02,1.12,87.0195794053662
User_1,s,u_s,0.0194,0.0725,0.0578,0,88.02,4.61,165.51724137931035
User_1,u,<space>_u,0.1144,0.1649,0.0531,0,88.02,0.0,72.77137659187386
User_1,<space>,m_<space>,0.0882,0.1435,0.0505,0,88.02,0.0,83.62369337979095
User_1,m,a_m,0.0976,0.0537,0.0553,1,88.02,6.28,223.463687150838
User_1,a,<space>_a,0.0439,0.0949,0.0821,0,88.02,0.0,126.44889357218125
User_1,<space>,i_<space>,0.1187,0.1587,0.051,0,88.02,0.0,75.61436672967864
User_1,i,<space>_i,0.0213,0.1289,0.04,0,88.02,0.0,93.0954228083786
User_1,<space>,r_<space>,0.2086,0.2736,0.1075,0,88.02,0.0,43.859649122807014
User_1,r,a_r,0.1314,0.209,0.0651,0,88.02,2.69,57.41626794258374
User_1,a,m_a,0.0208,0.0862,0.0776,0,88.02,6.28,139.21113689095128
User_1,m,u_m,0.1282,0.1801,0.0654,0,88.02,2.12,66.62965019433648
User_1,u,r_u,0.1496,0.0799,0.052,1,88.02,3.0,150.18773466833542
User_1,r,<space>_r,0.0697,0.1197,0.0883,0,88.02,0.0,100.25062656641603
User_1,a,m_a,0.1631,0.042,0.0697,1,88.02,6.28,285.71428571428567
User_1,m,o_m,0.1211,0.1383,0.0638,0,88.02,2.39,86.76789587852494
User_1,o,t_o,0.0095,0.0744,0.0172,0,88.02,4.0,161.29032258064515
User_1,t,<space>_t,0.0773,0.1781,0.0649,0,88.02,0.0,67.3778775968557
User_1,<space>,e_<space>,0.1796,0.0312,0.1008,1,88.02,0.0,384.61538461538464
User_1,e,l_e,0.1483,0.2231,0.0858,0,88.02,6.58,53.78753922008068
User_1,l,p_l,0.1792,0.2369,0.0747,0,88.02,1.12,50.65428450823133
User_1,p,p_p,0.0754,0.1247,0.0577,0,88.02,0.0,96.23095429029671
User_1,p,<backspace>_p,0.0877,0.1481,0.0493,0,88.02,0.0,81.02633355840648
User_1,<backspace>,<backspace>_<backspace>,0.0496,0.0989,0.0605,0,88.02,0.0,121.33468149646107
User_1,<backspace>,p_<backspace>,0.1199,0.1591,0.0494,0,88.02,0.0,75.4242614707731
User_1,p,m_p,0.1294,0.1998,0.0392,0,88.02,3.05,60.06006006006006
User_1,m,a_m,0.0181,0.1081,0.0704,0,88.02,6.28,111.00832562442183
User_1,a,<space>_a,0.1805,0.279,0.0899,0,88.02,0.0,43.01075268817204
User_1,<space>,1_<space>,0.2208,0.2836,0.0985,0,88.02,0.0,42.313117066290545
User_1,1,<space>_1,0.0329,0.1106,0.0628,0,88.02,0.0,108.49909584086798
User_1,<space>,e_<space>,0.0218,0.1095,0.1001,0,88.02,0.0,109.58904109589041
User_1,e,l_e,0.0662,0.1302,0.0877,0,88.02,6.58,92.16589861751152
User_1,l,t_l,0.1344,0.0674,0.064,1,88.02,4.61,178.04154302670622
User_1,t,t_t,0.067,0.1218,0.084,0,88.02,0.0,98.52216748768473
User_1,t,o_t,0.1603,0.0466,0.0549,1,88.02,4.0,257.5107296137339
User_1,o,b_o,0.1137,0.1777,0.0538,0,88.02,3.86,67.52954417557682
User_1,b,<space>_b,0.1244,0.1756,0.0641,0,88.02,0.0,68.3371298405467
User_1,<space>,r_<space>,0.1363,0.0622,0.0511,1,88.02,0.0,192.92604501607718
User_1,r,e_r,0.074,0.1344,0.0653,0,88.02,1.0,89.28571428571429
User_1,e,t_e,0.106,0.1568,0.0603,0,88.02,2.0,76.53061224489795
User_1,t,a_t,0.0713,0.1345,0.0509,0,88.02,3.64,89.21933085501857
User_1,a,w_a,0.0699,0.1401,0.0632,0,88.02,1.12,85.65310492505353
User_1,e,t_e,0.1013,0.1599,0.0747,0,88.02,2.0,75.04690431519701
User_1,t,a_t,0.0911,0.1608,0.0586,0,88.02,3.64,74.62686567164178
User_1,<space>,d_<space>,0.124,0.0739,0.0529,1,88.02,0.0,162.3815967523681
User_1,d,n_d,0.0502,0.1061,0.0789,0,88.02,3.35,113.10084825636193
User_1,n,a_n,0.2542,0.0928,0.0559,1,88.02,5.3,129.31034482758622
User_1,a,<space>_a,0.1615,0.2493,0.0997,0,88.02,0.0,48.13477737665463
User_1,<space>,s_<space>,0.1329,0.2161,0.0879,0,88.02,0.0,55.529847292919946
User_1,s,s_s,0.0736,0.1354,0.0832,0,88.02,0.0,88.62629246676515
User_1,s,a_s,0.184,0.0767,0.0618,1,88.02,1.0,156.45371577574966
User_1,a,<space>_a,0.1072,0.1664,0.1081,0,88.02,0.0,72.11538461538461
User_1,<space>,y_<space>,0.0882,0.0601,0.0591,1,88.02,0.0,199.66722129783693
User_1,y,m_y,0.0281,0.1015,0.0638,0,88.02,2.62,118.22660098522167
User_1,m,<space>_m,0.0823,0.1405,0.0733,0,88.02,0.0,85.40925266903913
User_1,<space>,k_<space>,0.0885,0.116,0.0582,0,88.02,0.0,103.44827586206895
User_1,k,c_k,0.0076,0.0979,0.0274,0,88.02,4.9,122.57405515832482
User_1,c,u_c,0.0335,0.0908,0.0904,0,88.02,3.86,132.15859030837004
User_1,u,f_u,0.1401,0.2136,0.0572,0,88.02,2.69,56.17977528089887
User_1,f,<space>_f,0.13,0.2301,0.0735,0,88.02,0.0,52.15123859191655
User_1,a,<space>_a,0.0278,0.0735,0.0901,0,88.02,0.0,163.26530612244898
User_1,<space>,o_<space>,0.1221,0.1658,0.0457,0,88.02,0.0,72.37635705669481
User_1,o,t_o,0.0185,0.0859,0.0437,0,88.02,4.0,139.69732246798603
User_1,t,n_t,0.0553,0.1282,0.0674,0,88.02,2.62,93.60374414976599
User_1,n,i_n,0.0899,0.14,0.0729,0,88.02,2.39,85.71428571428571
User_1,i,<space>_i,0.1604,0.2083,0.0501,0,88.02,0.0,57.60921747479596
User_1,<space>,t_<space>,0.0202,0.0889,0.0478,0,88.02,0.0,134.98312710911136
User_1,t,r_t,0.0726,0.1428,0.0687,0,88.02,1.0,84.03361344537814
User_1,r,o_r,0.1319,0.0708,0.0702,1,88.02,5.0,169.49152542372883
User_1,o,p_o,0.0611,0.1141,0.0784,0,88.02,1.0,105.17090271691498
User_1,p,s_p,0.0292,0.1147,0.053,0,88.02,7.57,104.62074978204011
User_1,s,n_s,0.0307,0.0975,0.0855,0,88.02,4.32,123.07692307692307
User_1,n,a_n,0.1804,0.0814,0.0668,1,88.02,5.3,147.4201474201474
User_1,a,r_a,0.0991,0.172,0.09,0,88.02,2.69,69.76744186046513
User_1,r,t_r,0.0722,0.1298,0.0729,0,88.02,1.0,92.44992295839754
User_1,t,<space>_t,0.0749,0.1277,0.0575,0,88.02,0.0,93.97024275646045
User_1,1,<space>_1,0.0556721687316894,0.1074321269989013,0.0906991958618164,0,108.91,0.0,111.69843076943569
User_1,<space>,r_<space>,0.0009994506835937,0.0587728023529052,0.0517599582672119,0,108.91,0.0,204.17607327867748
User_1,r,e_r,0.0817387104034423,0.1276271343231201,0.0577733516693115,0,108.91,1.0,94.02389283159012
User_1,e,s_e,0.0750102996826171,0.1357514858245849,0.0458884239196777,0,108.91,1.12,88.39682252543545
User_1,s,u_s,0.0018243789672851,0.0541634559631347,0.0607411861419677,0,108.91,4.61,221.5515939043396
User_1,u,<space>_u,0.1015331745147705,0.1559529304504394,0.0523390769958496,0,108.91,0.0,76.94629376530699
User_1,<space>,m_<space>,0.0637273788452148,0.1160006523132324,0.0544197559356689,0,108.91,0.0,103.44769413534702
User_1,m,a_m,0.0998070240020752,0.0571610927581787,0.0522732734680175,1,108.91,6.28,209.93300549319923
User_1,a,<space>_a,0.0426459312438964,0.1036596298217773,0.0883195400238037,0,108.91,0.0,115.76348498090994
User_1,<space>,i_<space>,0.1171991825103759,0.119197130203247,0.0610136985778808,0,108.91,0.0,100.67356470359982
User_1,i,START,0.0,0.0,0.001997947692871,1,108.91,0.0,1200.0
User_1,t,u_t,0.0088,0.0638,0.0552,0,88.02,2.0,188.08777429467088
User_1,u,h_u,0.0749,0.1271,0.055,0,88.02,1.12,94.4138473642801
User_1,h,s_h,0.127,0.0814,0.0521,1,88.02,4.0,147.4201474201474
User_1,s,<space>_s,0.0456,0.1158,0.1028,0,88.02,0.0,103.62694300518136
User_1,<space>,a_<space>,0.1103,0.0825,0.0702,1,88.02,0.0,145.45454545454544
User_1,t,<space>_t,0.0450634956359863,0.0996201038360595,0.0697138309478759,0,108.91,0.0,120.45761385420639
User_1,<space>,t_<space>,0.1358649730682373,0.0410082340240478,0.0545566082000732,1,108.91,0.0,292.6241591618657
User_1,t,c_t,0.0948567390441894,0.1578447818756103,0.0555787086486816,0,108.91,2.39,76.02405260033625
User_1,c,i_c,0.0255284309387207,0.0770230293273925,0.0629880428314209,0,108.91,4.74,155.7975595713465
User_1,i,d_i,0.0109784603118896,0.08074951171875,0.0514945983886718,0,108.91,4.61,148.6077097505669
User_1,d,e_d,0.078357458114624,0.1359124183654785,0.0697710514068603,0,108.91,1.12,88.29215272831888
User_1,e,r_e,0.0754342079162597,0.140230655670166,0.0575549602508544,0,108.91,1.0,85.57330023632625
User_1,r,p_r,0.1699903011322021,0.0327730178833007,0.0647964477539062,1,108.91,6.0,366.1548668703632
User_1,p,<space>_p,0.1372172832489013,0.1837468147277832,0.0493161678314209,0,108.91,0.0,65.30725453814115
User_1,<space>,u_<space>,0.0923423767089843,0.142179250717163,0.0465295314788818,0,108.91,0.0,84.40050105392372
User_1,u,<space>_u,0.1001574993133544,0.1601829528808593,0.0498368740081787,0,108.91,0.0,74.91433878688295
User_1,<space>,n_<space>,0.0639290809631347,0.1191515922546386,0.0600254535675048,0,108.91,0.0,100.71204062766384
User_1,n,a_n,0.1074717044830322,0.036647081375122,0.0552225112915039,1,108.91,5.3,327.4476315635395
User_1,a,c_a,0.0708246231079101,0.1443355083465576,0.0888516902923584,0,108.91,2.42,83.13962473591275
User_1,c,<space>_c,0.1465938091278076,0.233713150024414,0.0735108852386474,0,108.91,0.0,51.34499277745588
User_1,<space>,1_<space>,0.1031069755554199,0.1938061714172363,0.0871193408966064,0,108.91,0.0,61.91753292605816
User_1,<space>,o_<space>,0.0460977554321289,0.103330373764038,0.0734577178955078,0,87.63,0.0,116.13235840414963
User_1,o,l_o,0.1188416481018066,0.1947791576385498,0.0572326183319091,0,87.63,1.12,61.6082343998443
User_1,l,l_l,0.0773220062255859,0.1260101795196533,0.0759375095367431,0,87.63,0.0,95.2304015893288
User_1,l,e_l,0.0996723175048828,0.1883578300476074,0.0486881732940673,0,87.63,6.58,63.70852752427124
