Sentence,Mean_Dwell,Mean_Flight_UD,Mean_Flight_DD,Overlap_Rate,WPM,Accuracy,Burst_Pause_Count
the smallest details define the strongest locks,0.11923529411775663,0.14641176470577727,0.15591176470581344,0.5294117647058824,57.78096506505769,100.0,2
precision creates identity over time,0.1053714285714055,0.1222285714285785,0.1620000000000021,0.6571428571428571,47.6979132162979,100.0,1
security should feel invisible,0.1149545454546073,0.08486363636364497,0.13331818181822283,0.6363636363636364,64.40071556350459,100.0,0
behavior is harder to fake than passwords,0.1317419354838069,0.5550645161290724,0.12367741935480397,0.6451612903225806,20.133404264025945,100.0,2
auth begins with movement,0.11090909090907272,0.09068181818185456,0.12059090909096168,0.6363636363636364,58.09450038729937,100.0,0
secure systems reduce friction,0.1160740740740746,0.09707407407407757,0.13762962962967626,0.5925925925925926,55.26558182376315,100.0,1
typing rhythm reveals patterns,0.11119047619039131,0.17190476190483292,0.1926666666666365,0.5238095238095238,46.397731666451776,100.0,2
biometrics improve authentication,0.10030769230773401,0.09465384615378543,0.1559230769230453,0.7692307692307693,63.46153846154068,100.0,2
consistency builds trust in systems,0.10783333333328453,0.10304166666674064,0.12120833333339458,0.5,69.27263730826208,94.28571428571428,0
identity lives in behavior,0.10450000000005275,0.16809999999995853,0.13564999999994143,0.65,45.774647887325266,100.0,1
